Date,AV,C,TV
2015-06-04,14728.030197143555,1332.8677387237549,16060.89793586731
2015-06-05,15905.900316238403,86.83773040771484,15992.738046646118
2015-06-08,15909.9797706604,89.22772979736328,15999.207500457764
2015-06-09,15874.290138244629,42.68772888183594,15916.977867126465
2015-06-10,13951.089778900146,2066.667621612548,16017.757400512695
2015-06-11,8472.8900680542,7626.547721862793,16099.437789916992
2015-06-12,7709.009963989258,8404.927614212036,16113.937578201294
2015-06-15,14588.732139587402,1508.2854709625244,16097.017610549927
2015-06-16,12520.140037536621,3616.173257827759,16136.31329536438
2015-06-17,9671.529857635498,6499.603319168091,16171.133176803589
2015-06-18,10918.06008720398,5292.533340454102,16210.593427658081
2015-06-19,10523.680170059204,5696.953289031982,16220.633459091187
2015-06-22,10273.10009765625,5993.123329162598,16266.223426818848
2015-06-23,13714.439979553223,2545.213363647461,16259.653343200684
2015-06-24,15189.03002166748,1081.443359375,16270.47338104248
2015-06-25,15780.563320159912,464.42029953002924,16244.983619689941
2015-06-26,16106.868186950684,94.21030235290522,16201.078489303589
2015-06-29,15429.065044403076,827.0608921051025,16256.125936508179
2015-06-30,15091.046028137207,1260.1003608703613,16351.146389007568
2015-07-01,14507.279651641846,1913.0332565307617,16420.312908172607
2015-07-02,11639.219623565674,4841.623428344726,16480.8430519104
2015-07-06,14919.949996948242,1482.774143218993,16402.724140167236
2015-07-07,15617.32069969177,773.2959461212154,16390.616645812985
2015-07-08,15862.10322189331,108.14961433410599,15970.252836227417
2015-07-09,16029.687356948853,55.19894409179642,16084.88630104065
2015-07-10,9202.593507766724,7173.494121551512,16376.087629318235
2015-07-13,8140.340061187744,8324.84980201721,16465.189863204956
2015-07-14,11585.120239257812,4903.099737167357,16488.21997642517
2015-07-15,9128.650148391724,7336.95958137512,16465.609729766846
2015-07-16,10583.76010131836,5931.8795642852765,16515.639665603638
2015-07-17,10982.770004272461,5509.4395656585675,16492.20956993103
2015-07-20,14827.159732818604,1607.3696079254132,16434.52934074402
2015-07-21,14465.14005279541,1945.9495487213117,16411.089601516724
2015-07-22,16041.650159835815,255.4495620727521,16297.099721908568
2015-07-23,15731.429876327515,406.6795310974103,16138.109407424925
2015-07-24,15769.190305709839,98.5695285797101,15867.759834289549
2015-07-27,15614.68012046814,40.33958053588684,15655.019701004027
2015-07-28,15500.630954742432,381.6895999908427,15882.320554733275
2015-07-29,4374.739992141724,11604.993864059446,15979.73385620117
2015-07-30,8790.660160064697,7196.0137386322,15986.673898696898
2015-07-31,8099.329942703247,7923.163702011107,16022.493644714354
2015-08-03,11983.200008392334,3931.253679275511,15914.453687667845
2015-08-04,14939.040189743042,1011.5636634826642,15950.603853225706
2015-08-05,10726.819957733152,5278.643735885618,16005.46369361877
2015-08-06,13523.040063858032,2345.1737022399884,15868.21376609802
2015-08-07,15149.989698410034,679.7437419891339,15829.733440399168
2015-08-10,6675.420085906982,9422.003807067867,16097.42389297485
2015-08-11,12870.000020980835,3104.583856582638,15974.583877563473
2015-08-12,15407.184675216675,431.2591915130579,15838.443866729733
2015-08-13,15700.382932662964,120.91919898986453,15821.302131652828
2015-08-14,13746.509912490845,2150.369869232174,15896.879781723019
2015-08-17,10123.379901885986,5712.04984092712,15835.429742813107
2015-08-18,13351.949672698975,2309.9699192047083,15661.919591903683
2015-08-19,14675.420064926147,774.7399063110315,15450.159971237179
2015-08-20,15072.247640609741,118.66236686706179,15190.910007476803
2015-08-21,14697.067487716675,41.55236816405886,14738.619855880734
2015-08-24,14002.08683013916,41.55236816405886,14043.639198303219
2015-08-25,14342.129411697388,41.55236816405886,14383.681779861447
2015-08-26,9853.232604980469,4931.814107894894,14785.046712875363
2015-08-27,7231.186248779297,7833.086790084835,15064.273038864132
2015-08-28,8224.732809066772,6830.254968643185,15054.987777709957
2015-08-31,8773.934951782227,6214.144828796383,14988.07978057861
2015-09-01,13066.035152435303,1640.3945674896208,14706.429719924923
2015-09-02,14497.792812347412,397.32583045959166,14895.118642807003
